Compound Name,Attrition resistance,Thermal Stability,Average particle size,Particle size distribution,density,rare earth oxides,catalyst surface area,micropore surface area,zeolite surface area,X-ray fluorescence
Compound_296,96.55,809.16,7.43,1.42,1.445,3.47,232.25,87.55,209.63,0.8071
Compound_297,83.9,703.6,4.02,2.46,1.4,3.51,231.76,60.59,478.84,0.4963
Compound_298,87.61,648.91,8.08,1.97,1.069,0.13,259.75,11.03,381.48,0.9703
Compound_299,88.75,670.49,7.34,2.13,1.183,4.84,62.92,55.43,387.38,0.8626
Compound_300,83.59,840.0,5.97,1.29,0.892,4.33,89.32,37.88,216.02,0.8714
Compound_301,93.45,839.0,3.25,1.75,1.2,4.16,276.52,11.09,369.61,0.0518
Compound_302,90.98,686.29,3.76,1.21,1.235,1.67,233.17,46.41,127.34,0.7838
Compound_303,85.72,729.83,7.17,1.16,0.84,1.87,286.11,67.76,368.59,0.6323
Compound_304,83.98,725.5,7.76,0.7,0.994,1.38,158.0,98.23,127.0,0.5187
Compound_305,83.59,891.2,2.02,1.31,1.317,3.52,155.68,41.19,259.04,0.2643
Compound_306,84.11,744.91,3.42,1.07,1.26,4.84,200.91,16.93,130.23,0.9514
Compound_307,85.95,627.62,6.39,1.75,1.254,1.34,53.78,96.85,200.36,0.676
Compound_308,94.13,783.0,3.82,1.04,1.218,4.33,286.68,19.53,161.93,0.9447
Compound_309,94.73,864.9,2.82,1.68,1.291,3.4,152.04,11.39,333.17,0.2531
Compound_310,89.01,887.27,4.59,2.18,0.932,3.36,294.25,19.17,103.33,0.4336
Compound_311,81.85,824.52,9.23,1.37,0.981,2.17,230.86,10.81,335.78,0.6133
Compound_312,92.75,672.61,7.43,0.68,0.939,4.39,234.68,11.24,199.35,0.2144
Compound_313,85.42,674.27,1.56,1.42,1.313,3.03,218.22,17.3,480.6,0.8385
Compound_314,96.1,846.9,9.39,1.59,0.94,3.08,235.72,76.41,308.58,0.0685
Compound_315,87.42,876.23,6.26,1.58,0.988,1.84,273.84,69.98,414.95,0.4543
Compound_316,92.6,674.52,7.35,1.36,1.11,3.25,284.07,15.76,429.9,0.2924
Compound_317,88.88,606.57,3.71,1.51,0.839,2.46,281.78,19.49,405.78,0.4097
Compound_318,93.1,678.07,2.44,0.82,0.849,0.93,216.05,89.35,425.65,0.6851
Compound_319,82.21,686.76,3.79,1.0,1.161,2.68,139.22,41.84,431.42,0.7893
Compound_320,86.16,874.14,9.58,1.15,1.048,2.53,285.28,88.87,141.03,0.3927
Compound_321,91.07,750.94,2.74,2.22,1.274,4.19,264.69,77.35,275.68,0.6105
Compound_322,83.21,802.09,2.61,1.89,0.961,0.59,91.32,10.18,387.5,0.7324
Compound_323,90.3,648.41,1.75,0.54,0.916,4.45,110.38,41.88,142.14,0.2224
Compound_324,90.38,782.33,3.21,0.62,1.074,1.17,104.89,96.39,346.52,0.5569
Compound_325,88.32,728.68,5.87,1.89,1.292,0.86,175.03,47.08,448.21,0.6314
Compound_326,90.65,634.62,6.45,0.73,1.036,0.71,223.02,28.56,256.74,0.8957
Compound_327,84.09,752.34,4.77,0.54,1.355,0.35,168.56,60.46,351.37,0.6886
Compound_328,85.07,602.99,7.51,1.57,1.385,4.11,260.83,53.66,233.45,0.7916
Compound_329,89.03,655.03,8.69,2.27,1.126,0.38,146.96,82.32,460.71,0.2035
Compound_330,81.34,863.21,4.5,1.58,1.478,0.33,212.08,16.67,250.19,0.8038
Compound_331,88.67,899.15,6.03,1.14,0.954,1.75,143.13,16.18,247.83,0.4642
Compound_332,94.45,797.02,7.38,0.52,0.952,3.31,171.0,10.48,421.8,0.7728
Compound_333,90.97,619.94,7.9,1.67,1.347,3.76,250.75,56.62,156.13,0.6712
Compound_334,92.41,822.68,2.53,0.89,1.423,3.75,277.06,78.28,338.86,0.6541
Compound_335,97.78,773.64,6.69,0.81,1.132,3.58,117.74,28.2,225.53,0.2415
Compound_336,84.3,727.46,9.17,1.51,0.932,0.38,224.04,44.45,428.73,0.6595
Compound_337,95.92,681.58,7.23,1.03,1.457,3.18,131.13,34.26,176.37,0.6946
Compound_338,84.37,778.59,3.38,1.82,1.37,3.89,240.21,26.9,135.35,0.6989
Compound_339,87.37,729.7,1.28,1.02,0.824,4.4,110.85,60.16,115.59,0.6668
Compound_340,86.46,869.38,8.99,1.15,1.431,4.98,256.35,86.04,199.6,0.5767
Compound_341,81.35,628.48,9.99,1.15,1.324,4.03,264.51,99.79,196.6,0.0404
Compound_342,88.22,639.02,1.2,1.22,1.349,2.83,128.19,68.89,192.81,0.0144
Compound_343,95.29,787.12,7.86,0.58,1.386,3.1,190.85,66.22,445.77,0.5869
Compound_344,91.62,897.2,7.81,1.38,1.295,1.95,107.22,63.72,471.27,0.9291
Compound_345,86.84,758.3,2.9,2.49,1.487,3.25,251.1,74.36,337.26,0.0533
Compound_346,89.1,802.44,7.1,1.25,1.459,0.84,175.09,72.18,378.85,0.6486
Compound_347,85.51,646.86,6.72,1.7,0.926,3.53,163.79,70.1,434.95,0.1697
Compound_348,80.38,833.73,6.49,1.9,1.387,4.01,290.23,58.23,295.4,0.4019
Compound_349,83.07,771.78,3.49,2.34,1.208,2.96,138.73,14.68,112.7,0.4233
Compound_350,81.69,782.05,8.93,2.27,1.261,1.06,265.75,89.75,178.66,0.7374
Compound_351,85.73,840.79,9.98,0.56,1.428,3.11,293.35,51.85,438.96,0.0624
Compound_352,86.71,620.1,9.78,2.13,1.397,4.69,71.28,44.7,128.41,0.2108
Compound_353,84.59,740.73,3.42,0.7,0.917,0.74,293.27,78.34,487.1,0.4397
Compound_354,85.57,839.49,3.94,1.1,0.963,0.65,114.12,41.98,369.6,0.0626
Compound_355,84.21,842.71,2.32,1.19,1.405,0.77,70.68,53.61,220.97,0.5634
Compound_356,96.08,641.14,6.23,1.51,0.901,3.12,118.41,53.91,132.91,0.4596
Compound_357,86.13,846.71,1.51,1.34,1.121,3.63,193.57,70.05,410.82,0.8622
Compound_358,86.28,761.41,8.56,2.48,1.423,1.86,98.79,54.05,396.66,0.4926
Compound_359,89.66,851.47,4.25,2.22,1.085,1.64,163.5,78.62,150.4,0.1964
Compound_360,99.03,652.65,6.11,1.66,1.143,3.22,107.46,59.74,248.87,0.6617
Compound_361,82.82,771.26,2.67,1.06,0.953,0.91,256.43,35.71,470.85,0.9699
Compound_362,91.43,642.9,4.37,2.1,1.057,0.44,189.2,86.06,418.37,0.1751
Compound_363,93.46,666.15,2.96,2.25,0.975,1.32,50.16,88.36,417.04,0.6273
Compound_364,95.01,645.61,5.12,1.2,0.866,2.43,280.18,13.61,216.58,0.2075
Compound_365,84.76,872.53,5.21,1.43,1.332,0.77,171.82,48.7,338.76,0.9996
Compound_366,95.39,719.36,8.45,0.84,0.821,1.02,135.1,55.95,346.05,0.9106
Compound_367,90.2,750.38,1.45,0.57,1.186,2.19,259.8,24.46,109.99,0.449
Compound_368,84.75,614.88,7.52,0.72,1.226,1.41,93.37,44.18,420.58,0.3921
Compound_369,95.02,637.65,7.95,0.97,1.274,2.83,282.29,44.86,126.47,0.0192
Compound_370,96.54,757.42,7.98,0.97,1.042,0.15,290.37,70.11,473.28,0.2655
Compound_371,92.23,803.55,3.86,2.2,1.463,4.42,234.77,34.97,212.65,0.9634
Compound_372,80.21,814.81,7.36,1.75,1.493,1.56,134.99,17.1,277.12,0.261
Compound_373,86.87,850.37,9.42,0.87,1.061,4.64,65.45,18.31,165.12,0.5952
Compound_374,83.01,890.42,5.02,1.5,0.973,2.35,215.48,77.61,401.55,0.5779
Compound_375,98.09,845.22,7.81,0.61,0.805,1.06,215.88,47.01,260.96,0.8846
Compound_376,97.91,872.75,3.82,1.88,0.99,0.95,96.16,40.79,271.98,0.8309
Compound_377,82.4,820.48,5.78,1.08,1.145,1.5,199.02,49.05,165.76,0.1166
Compound_378,90.93,870.72,4.1,1.97,1.261,4.66,255.25,60.99,362.81,0.8984
Compound_379,87.99,698.04,1.1,2.15,1.361,0.52,194.21,51.76,147.48,0.9806
Compound_380,84.29,620.17,6.35,1.98,0.823,3.29,183.07,19.29,169.01,0.568
Compound_381,85.93,881.49,8.37,2.47,0.982,4.85,157.81,41.28,120.14,0.0528
Compound_382,93.84,737.38,3.04,1.73,0.977,2.89,139.8,84.12,428.28,0.4774
Compound_383,87.02,708.77,8.25,1.16,0.946,0.42,166.67,53.39,436.36,0.2212
Compound_384,87.62,842.52,8.41,1.27,1.121,1.52,283.14,20.68,473.5,0.6839
Compound_385,90.63,609.8,5.28,1.32,0.913,3.28,292.79,60.6,385.9,0.0685
Compound_386,88.35,634.91,6.52,2.38,1.263,0.38,138.67,59.56,261.28,0.8336
Compound_387,96.29,783.55,4.36,1.01,0.874,1.77,153.29,70.82,363.26,0.0701
Compound_388,87.91,654.53,2.41,2.15,0.829,2.1,92.05,89.14,322.82,0.2314
Compound_389,90.05,819.45,9.62,0.94,1.42,4.67,279.11,67.19,351.93,0.4032
Compound_390,95.05,759.39,7.1,1.36,1.312,4.12,86.61,84.96,316.12,0.8447
Compound_391,88.63,713.71,9.24,1.0,1.391,2.42,178.52,37.76,329.22,0.3252
Compound_392,80.79,681.6,1.06,2.46,1.476,1.98,232.09,41.12,368.44,0.8054
Compound_393,98.94,720.06,8.05,1.03,1.493,0.13,200.88,69.36,375.22,0.1204
Compound_394,98.77,654.35,6.6,0.95,1.015,2.73,154.3,24.42,168.37,0.4181
Compound_395,95.15,869.39,1.76,1.29,0.87,0.08,215.43,64.22,165.21,0.2338
Compound_396,80.47,850.48,9.77,0.77,0.962,4.34,281.62,47.77,120.25,0.0394
Compound_397,91.48,717.87,1.26,1.67,0.808,3.94,126.61,13.62,335.34,0.3977
Compound_398,99.48,763.26,3.48,1.92,0.99,4.52,143.68,59.49,120.23,0.4261
Compound_399,96.65,841.69,3.02,0.95,1.372,4.65,73.84,50.51,234.98,0.8707
Compound_400,81.67,663.34,7.77,0.6,1.145,2.21,133.6,45.51,311.98,0.1614
Compound_401,91.44,841.63,7.84,0.81,0.904,1.34,140.27,46.76,371.88,0.0567
Compound_402,80.69,717.57,7.27,0.89,1.249,1.3,271.52,90.61,218.91,0.23
Compound_403,88.23,672.16,7.05,2.15,1.271,4.12,149.25,24.07,395.18,0.3605
Compound_404,93.43,681.19,1.73,2.49,0.909,4.94,294.32,81.44,363.77,0.5778
Compound_405,97.32,686.83,5.21,1.74,1.088,2.14,132.57,60.78,440.23,0.2015
Compound_406,98.69,806.73,8.41,1.61,1.346,0.08,254.6,13.61,455.97,0.992
Compound_407,85.88,663.1,7.89,1.01,1.406,0.51,81.49,98.12,369.54,0.8469
Compound_408,86.49,802.95,6.35,1.71,1.278,2.88,157.27,34.83,407.43,0.2263
Compound_409,93.85,670.0,6.63,1.99,0.953,0.3,82.74,64.54,439.78,0.045
Compound_410,94.68,702.4,5.31,2.36,1.032,2.33,53.42,17.34,203.44,0.0279
Compound_411,92.63,727.92,5.93,0.85,1.007,3.32,291.33,14.54,456.15,0.5769
Compound_412,91.28,750.08,1.62,0.68,1.221,1.7,279.32,46.59,157.31,0.7147
Compound_413,85.87,757.64,7.28,2.3,1.355,3.38,219.91,95.13,218.33,0.0011
Compound_414,85.44,665.37,6.96,1.77,1.215,0.08,232.19,39.12,366.02,0.5566
Compound_415,86.85,640.37,1.85,2.16,1.443,3.25,75.86,46.18,391.58,0.7798
Compound_416,82.36,600.01,7.41,1.21,0.978,0.06,185.07,86.6,483.05,0.5657
Compound_417,90.29,625.52,5.94,1.26,1.225,1.94,110.07,18.55,225.97,0.0966
Compound_418,83.54,896.2,5.0,1.56,1.412,4.98,195.68,83.12,230.78,0.3057
Compound_419,88.05,801.75,7.14,1.13,0.893,3.16,82.08,62.06,377.37,0.7006
Compound_420,95.07,861.86,5.5,1.96,1.233,0.93,56.42,35.61,277.21,0.6171
Compound_421,97.0,658.87,2.13,2.43,0.876,2.39,196.39,58.72,134.41,0.057
Compound_422,82.11,775.68,5.9,0.97,1.246,4.1,60.39,54.83,375.72,0.2523
Compound_423,86.16,784.09,9.08,2.12,1.208,3.65,141.21,67.69,286.47,0.1899
Compound_424,94.03,766.94,4.23,2.32,0.815,1.58,64.22,78.99,380.84,0.3314
Compound_425,93.51,718.78,7.81,1.41,1.089,4.67,112.72,20.84,333.82,0.9693
Compound_426,87.56,618.61,4.05,1.51,0.913,3.29,299.44,50.66,241.89,0.4007
Compound_427,82.3,864.98,4.73,1.27,1.262,2.21,212.06,15.53,425.49,0.9405
Compound_428,92.98,886.37,2.36,1.45,1.221,2.91,150.37,40.43,150.73,0.3917
Compound_429,83.25,820.31,2.88,0.62,1.187,2.98,267.98,61.93,238.19,0.803
Compound_430,90.81,623.78,6.09,2.32,1.077,1.48,85.87,23.63,273.11,0.5957
Compound_431,81.61,881.87,7.8,1.67,1.38,0.4,169.21,66.71,431.46,0.7835
Compound_432,85.54,882.26,2.12,2.25,1.48,0.89,230.52,13.63,262.17,0.5163
Compound_433,91.61,880.78,7.05,1.46,1.367,4.75,55.52,98.43,134.45,0.8144
Compound_434,85.61,639.65,4.96,1.79,1.067,0.27,199.87,91.22,253.29,0.2163
Compound_435,88.85,614.51,8.38,2.15,1.212,1.77,249.95,59.92,430.37,0.6315
Compound_436,95.69,779.57,4.73,2.42,1.179,3.03,105.12,66.31,328.64,0.1848
Compound_437,81.19,781.31,7.87,1.55,0.959,3.33,70.03,49.77,165.35,0.1845
Compound_438,84.05,716.01,1.46,1.3,1.158,2.42,145.7,85.52,158.13,0.5057
Compound_439,81.24,621.35,6.16,1.63,1.415,2.79,289.95,14.38,139.2,0.0441
Compound_440,83.71,762.38,6.81,0.59,1.462,4.21,124.15,16.95,167.95,0.1269
Compound_441,82.47,755.57,3.21,1.22,1.493,3.42,287.25,22.83,252.86,0.5547
Compound_442,81.54,601.26,7.03,1.78,1.088,2.45,153.86,12.16,234.15,0.1771
Compound_443,81.97,887.02,6.39,1.96,1.021,1.97,109.23,18.73,171.61,0.7975
Compound_444,93.55,764.08,5.28,2.34,0.851,1.4,137.48,80.42,497.01,0.2407
Compound_445,97.49,849.19,3.02,1.3,1.087,4.89,95.22,81.92,233.68,0.7309
Compound_446,88.4,773.51,8.49,2.11,1.406,0.3,223.01,22.6,266.33,0.5486
Compound_447,88.05,755.88,9.97,0.77,1.273,1.98,83.25,24.29,479.71,0.8796
Compound_448,98.14,897.46,2.87,1.21,1.268,2.42,154.6,42.2,337.51,0.5756
Compound_449,83.23,741.52,5.98,1.64,0.947,3.71,56.3,41.93,412.09,0.5639
Compound_450,85.22,808.49,6.11,2.09,1.315,3.05,172.04,21.99,204.53,0.4191
Compound_451,91.99,754.11,3.59,0.51,1.147,1.43,233.65,12.16,333.93,0.9415
Compound_452,83.49,741.49,1.82,1.75,1.185,2.04,180.34,90.69,178.52,0.0226
Compound_453,97.23,773.14,9.02,1.69,1.367,2.15,237.46,92.17,328.85,0.1808
Compound_454,85.38,659.59,3.22,1.11,1.189,2.94,156.62,65.39,132.63,0.0878
Compound_455,83.44,755.42,2.93,1.07,1.08,4.06,53.47,68.44,367.55,0.7987
Compound_456,98.66,606.04,2.38,2.27,1.121,2.82,215.76,71.12,472.7,0.9969
Compound_457,94.4,686.17,8.92,0.6,0.962,4.49,114.05,29.86,155.25,0.8591
Compound_458,90.0,802.47,3.15,2.02,1.332,1.56,152.67,28.87,490.62,0.6456
Compound_459,98.69,691.02,8.04,2.03,1.284,4.83,148.39,21.76,368.68,0.7293
Compound_460,91.5,662.05,5.54,1.12,1.099,3.23,236.3,30.9,262.13,0.2692
Compound_461,83.97,835.02,9.18,1.24,1.326,4.48,261.53,26.45,482.52,0.3767
Compound_462,86.78,618.73,5.38,0.72,0.974,1.58,252.21,88.79,220.99,0.8587
Compound_463,97.14,829.4,2.32,1.88,1.462,3.41,132.9,55.05,358.29,0.5106
Compound_464,82.4,693.62,8.22,2.22,0.896,4.76,132.21,69.61,400.73,0.8119
Compound_465,98.91,693.88,8.73,0.76,1.294,3.71,219.43,32.71,449.22,0.1689
Compound_466,81.07,815.24,5.28,2.2,1.068,0.84,259.11,59.4,175.68,0.7204
Compound_467,90.22,781.29,5.15,2.16,1.381,3.55,76.35,85.5,368.41,0.697
Compound_468,87.26,863.78,7.53,0.73,1.085,4.43,61.8,96.53,371.67,0.6314
Compound_469,85.41,674.64,9.48,1.1,1.343,1.97,84.81,10.96,317.7,0.9758
Compound_470,87.38,707.16,4.1,1.54,1.108,4.4,176.38,55.7,155.35,0.9827
Compound_471,85.0,622.01,6.97,1.69,1.091,2.11,246.27,27.61,428.1,0.6487
Compound_472,88.38,737.41,3.31,2.0,1.159,1.6,199.01,99.62,274.1,0.9207
Compound_473,86.9,616.42,2.84,1.34,0.954,0.0,278.75,85.95,396.92,0.1678
Compound_474,82.41,620.28,7.52,2.36,1.101,0.6,178.1,41.39,249.93,0.6213
Compound_475,94.37,633.18,1.32,2.49,0.963,0.27,97.47,13.51,256.72,0.8024
Compound_476,86.82,733.26,7.08,1.52,1.403,4.33,52.48,80.02,284.29,0.9888
Compound_477,89.66,896.07,7.79,1.0,1.177,4.96,264.38,18.76,382.55,0.3456
Compound_478,80.14,721.04,3.11,2.14,1.036,4.14,50.15,37.7,196.47,0.2336
Compound_479,81.36,656.14,6.0,1.08,1.092,1.88,268.98,91.48,297.18,0.3302
Compound_480,82.14,886.02,1.54,1.1,1.009,1.6,91.07,80.48,149.0,0.6349
Compound_481,82.48,621.16,9.18,0.88,1.375,2.72,69.46,95.99,198.78,0.8596
Compound_482,83.38,856.18,1.12,1.52,1.339,4.67,277.3,83.77,455.28,0.1992
Compound_483,85.68,686.69,4.39,1.29,1.181,0.8,222.81,25.08,224.12,0.5033
Compound_484,95.93,821.84,6.81,0.81,1.183,0.44,144.34,47.22,115.92,0.274
Compound_485,99.11,886.09,4.17,0.59,0.925,1.96,286.94,22.71,405.41,0.1087
Compound_486,99.63,714.48,7.98,1.19,1.239,0.96,86.51,94.43,467.06,0.8875
Compound_487,92.51,842.48,1.62,1.17,1.02,3.18,138.99,23.37,338.59,0.8144
Compound_488,87.64,639.68,2.77,0.97,1.01,3.21,200.24,72.65,245.0,0.824
Compound_489,84.08,740.71,8.21,0.86,0.877,4.42,135.73,71.55,110.14,0.69
Compound_490,86.32,616.72,6.49,0.98,1.071,0.4,86.79,36.82,135.9,0.9108
Compound_491,80.12,745.16,2.11,1.12,1.448,0.81,291.46,28.52,396.63,0.5467
Compound_492,97.69,766.2,5.81,0.89,0.916,4.58,131.96,43.49,403.93,0.3388
Compound_493,99.04,821.38,6.38,2.26,0.835,1.29,166.26,30.43,397.56,0.9192
Compound_494,88.48,702.64,9.65,1.39,1.142,1.76,277.39,61.21,404.87,0.8118
Compound_495,86.84,730.11,8.64,1.23,1.356,4.7,205.8,76.75,422.04,0.845
Compound_496,87.9,615.38,4.62,1.85,1.115,3.74,139.25,67.13,174.57,0.7494
Compound_497,90.91,661.22,3.63,2.0,1.138,1.08,291.82,74.36,482.85,0.4271
Compound_498,89.5,869.39,5.73,1.91,0.977,2.23,80.86,28.54,100.38,0.0393
Compound_499,99.55,672.71,6.97,2.18,1.185,0.77,232.03,64.02,392.5,0.7697
Compound_500,99.51,772.07,4.07,1.8,0.848,4.49,79.85,39.51,426.3,0.5973
Compound_501,87.87,742.03,8.69,1.18,1.409,0.44,244.2,86.28,172.73,0.4303
Compound_502,83.31,811.98,5.82,1.77,0.938,1.06,60.37,38.99,323.9,0.8579
Compound_503,93.34,730.62,9.58,1.94,1.451,2.64,114.73,14.75,390.43,0.1213
Compound_504,86.06,759.74,6.08,1.7,0.916,1.9,204.3,97.28,391.05,0.9226
Compound_505,95.24,777.52,2.73,1.83,1.236,3.01,172.45,57.58,233.78,0.5193
Compound_506,83.95,841.55,2.67,0.67,1.105,3.29,159.43,34.91,323.27,0.347
Compound_507,98.66,876.79,5.52,1.16,1.316,0.18,168.69,40.27,468.21,0.012
Compound_508,91.06,822.2,5.37,0.67,1.481,2.59,203.55,31.29,293.4,0.4291
Compound_509,81.5,631.85,8.54,0.98,0.936,2.52,242.19,15.58,330.72,0.1192
Compound_510,80.73,615.82,8.51,0.74,0.832,2.19,261.0,33.62,268.69,0.0399
Compound_511,88.98,773.28,6.14,1.16,1.021,0.53,141.7,18.95,406.64,0.9663
Compound_512,99.4,859.52,6.41,1.9,1.0,3.15,163.91,53.38,403.11,0.2819
Compound_513,86.36,877.39,1.51,1.47,1.439,3.05,186.6,32.48,237.31,0.852
Compound_514,91.18,754.42,1.9,0.53,1.475,1.88,200.8,17.17,373.25,0.9326
Compound_515,91.51,637.83,6.24,2.03,1.084,4.4,212.17,90.93,349.4,0.1313
Compound_516,86.19,660.54,9.18,2.02,1.273,1.5,96.01,78.08,289.66,0.2258
Compound_517,92.33,612.1,3.94,1.44,0.904,4.92,102.27,21.73,181.41,0.7691
Compound_518,88.51,769.62,1.19,0.57,1.112,4.08,271.31,17.8,315.35,0.9132
Compound_519,87.76,848.87,2.2,2.37,1.326,4.71,219.15,42.71,475.27,0.2756
Compound_520,86.64,810.24,7.89,2.36,0.943,3.99,234.64,15.74,254.89,0.2828
Compound_521,86.09,894.88,6.78,1.94,1.484,1.89,250.46,49.11,447.81,0.1807
Compound_522,98.95,665.63,3.94,2.01,1.076,3.04,161.14,76.81,191.33,0.0585
Compound_523,86.0,742.29,2.51,1.21,1.08,0.29,195.83,89.59,160.7,0.5978
Compound_524,93.29,725.8,7.31,1.32,1.153,0.04,222.93,69.52,115.36,0.3683
Compound_525,99.58,726.22,5.52,2.32,1.302,2.91,249.45,87.79,282.76,0.4751
Compound_526,87.72,890.01,7.27,0.67,1.404,2.4,67.19,59.47,266.87,0.8777
Compound_527,84.08,847.94,6.02,0.61,1.48,2.56,122.72,52.25,443.14,0.3049
Compound_528,83.85,638.72,3.68,2.06,1.13,1.14,91.55,39.95,475.97,0.343
Compound_529,99.76,745.57,2.61,2.28,1.122,3.55,295.93,14.52,138.68,0.7205
Compound_530,85.64,655.29,1.35,0.54,1.342,0.67,166.93,64.53,271.34,0.0271
Compound_531,95.67,603.15,7.86,2.29,1.103,2.68,169.25,45.03,454.97,0.8939
Compound_532,86.72,784.52,9.34,2.42,1.156,2.26,119.67,96.3,157.13,0.5798
Compound_533,85.65,683.7,4.64,2.5,0.838,2.89,70.64,23.91,275.83,0.5105
Compound_534,85.18,694.94,1.78,1.11,1.477,4.72,133.72,61.38,463.84,0.0062
Compound_535,96.21,884.51,1.82,0.82,1.473,2.69,53.55,33.19,279.98,0.6929
Compound_536,94.66,898.63,3.59,1.58,1.173,2.03,92.29,97.97,441.33,0.4983
Compound_537,92.06,668.18,5.89,1.89,1.161,4.95,202.84,43.39,408.86,0.1705
Compound_538,87.69,704.09,4.89,2.06,1.139,3.97,194.12,40.79,423.99,0.2383
Compound_539,84.49,751.35,3.35,0.52,1.254,2.56,161.38,97.03,328.48,0.8634
Compound_540,82.79,770.76,8.81,1.67,1.303,1.86,73.11,51.21,257.79,0.8671
Compound_541,84.88,890.02,9.62,1.0,1.044,4.48,291.66,49.91,228.4,0.5261
Compound_542,93.76,682.04,7.63,0.6,0.835,1.93,138.37,38.41,296.41,0.3207
Compound_543,83.85,692.84,9.77,1.32,1.111,2.88,295.84,31.74,372.51,0.716
Compound_544,92.15,626.57,7.09,0.63,1.217,3.7,102.74,85.75,112.14,0.8438
Compound_545,89.21,665.28,2.2,2.41,0.851,1.0,136.96,65.82,317.92,0.1256
Compound_546,85.79,671.63,2.92,1.32,1.293,1.09,141.67,45.18,490.58,0.9547
Compound_547,96.0,672.5,1.61,1.13,0.987,2.53,244.43,87.25,437.95,0.3597
Compound_548,93.74,693.85,1.55,1.9,0.807,2.05,132.34,72.4,406.5,0.3041
Compound_549,96.23,688.18,5.02,1.95,1.285,4.94,106.29,69.61,343.87,0.9151
Compound_550,83.13,825.54,6.11,1.05,1.132,1.67,194.83,90.01,327.72,0.6317
Compound_551,90.37,615.35,3.1,1.48,1.017,0.91,176.03,39.05,203.24,0.464
Compound_552,82.67,878.32,8.81,1.92,0.874,3.88,251.99,79.1,145.59,0.6439
Compound_553,96.69,773.21,6.82,1.42,1.17,0.17,209.74,17.33,274.01,0.2927
Compound_554,90.91,640.02,7.22,2.09,0.914,0.52,86.38,88.94,311.28,0.4673
Compound_555,82.13,794.87,8.81,2.16,1.238,0.38,78.1,14.44,202.99,0.1357
Compound_556,85.2,715.52,9.49,1.72,1.384,3.55,78.13,76.23,210.04,0.6391
Compound_557,86.82,899.3,3.37,1.06,1.451,0.12,224.17,75.28,434.55,0.9744
Compound_558,99.51,619.58,8.4,1.79,1.253,0.64,212.55,98.42,464.73,0.4391
Compound_559,80.8,708.69,8.44,1.9,1.122,0.28,156.72,52.21,471.42,0.6411
Compound_560,86.23,757.6,1.59,2.45,1.052,2.39,138.82,71.43,364.89,0.7153
Compound_561,85.36,694.7,2.13,1.81,0.828,2.99,267.42,90.17,279.62,0.4593
Compound_562,81.54,801.23,8.39,0.99,1.095,4.19,269.28,31.89,320.23,0.1925
Compound_563,82.04,873.34,8.38,2.02,0.834,4.22,159.51,40.82,318.59,0.0914
Compound_564,95.13,774.73,2.68,0.88,0.929,0.29,196.95,85.63,107.0,0.049
Compound_565,91.46,845.85,3.94,1.2,1.217,1.37,56.65,76.17,350.26,0.5808
Compound_566,94.83,802.57,2.85,1.2,0.888,0.65,219.05,87.27,485.09,0.6283
Compound_567,83.68,631.7,8.32,1.66,1.233,3.91,225.82,85.1,122.49,0.7475
Compound_568,97.02,685.84,6.76,1.13,1.471,0.17,194.95,24.99,384.89,0.1759
Compound_569,84.71,748.31,9.23,0.92,0.901,3.79,175.15,92.06,158.65,0.6459
Compound_570,84.66,647.03,7.15,1.69,1.328,1.55,161.99,46.49,493.64,0.2922
Compound_571,85.9,706.36,6.08,1.0,1.441,1.33,273.95,19.31,362.63,0.907
Compound_572,83.37,890.5,5.08,2.39,1.274,1.51,97.08,37.34,137.21,0.1439
Compound_573,82.09,726.88,8.16,0.78,0.891,3.22,99.3,18.78,166.74,0.9237
Compound_574,96.43,706.22,6.9,1.57,1.274,3.41,207.18,33.95,115.6,0.4556
Compound_575,97.82,770.85,8.49,2.48,0.915,3.46,218.57,98.2,494.24,0.6867
Compound_576,84.87,839.57,1.96,2.06,1.437,1.91,207.66,48.71,275.11,0.3104
Compound_577,95.24,880.85,9.47,0.85,1.412,3.69,113.21,16.06,207.2,0.9122
Compound_578,92.66,816.32,3.31,1.94,0.82,1.88,206.69,23.15,429.2,0.235
Compound_579,93.05,721.56,6.36,0.71,0.812,4.55,117.41,83.77,499.74,0.2114
Compound_580,85.3,798.86,9.69,2.33,1.152,3.98,83.94,97.97,485.74,0.1637
Compound_581,85.99,630.05,3.45,2.13,1.065,0.44,135.56,98.32,351.87,0.4162
Compound_582,83.33,895.85,8.39,1.06,0.849,0.28,80.09,62.27,471.51,0.4967
Compound_583,96.86,733.77,7.38,1.96,0.922,1.81,209.33,16.36,244.62,0.5348
Compound_584,99.92,742.36,8.34,1.36,1.357,2.98,271.65,46.98,341.72,0.63
Compound_585,88.35,643.29,1.84,0.53,1.411,1.18,102.88,76.24,228.01,0.506
Compound_586,83.25,887.92,8.66,2.23,1.085,3.81,85.97,10.78,107.99,0.5866
Compound_587,89.11,755.4,1.07,1.35,1.303,2.21,233.05,30.97,425.26,0.5884
Compound_588,84.22,671.02,6.65,2.16,1.091,1.29,266.75,70.23,279.23,0.4879
Compound_589,84.09,788.04,4.23,2.49,1.136,2.43,191.46,92.51,420.33,0.4511
Compound_590,94.37,775.87,5.43,0.88,1.125,1.23,278.71,40.19,480.91,0.5331
Compound_591,92.63,762.88,2.16,1.25,0.869,3.11,161.72,80.02,188.19,0.1646
